0,top_1,year,month,day,days_from_start
1993-05-01,59.7,1993,5,1,0
1993-10-01,124.0,1993,10,1,153
1994-05-01,143.4,1994,5,1,365
1994-10-01,170.0,1994,10,1,518
1995-05-01,170.0,1995,5,1,730
1995-10-01,170.0,1995,10,1,883
1996-05-01,220.4,1996,5,1,1096
1996-10-01,368.2,1996,10,1,1249
1997-05-01,1068.0,1997,5,1,1461
1997-10-01,1338.0,1997,10,1,1614
1998-05-01,1338.0,1998,5,1,1826
1998-10-01,1338.0,1998,10,1,1979
1999-05-01,2121.0,1999,5,1,2191
1999-10-01,2379.0,1999,10,1,2344
2000-05-01,2379.0,2000,5,1,2557
2000-10-01,4938.0,2000,10,1,2710
2001-05-01,7226.0,2001,5,1,2922
2001-10-01,7226.0,2001,10,1,3075
2002-05-01,35860.0,2002,5,1,3287
2002-10-01,35860.0,2002,10,1,3440
2003-05-01,35860.0,2003,5,1,3652
2003-10-01,35860.0,2003,10,1,3805
2004-05-01,35860.0,2004,5,1,4018
2004-10-01,70720.0,2004,10,1,4171
2005-05-01,136800.0,2005,5,1,4383
2005-10-01,280600.0,2005,10,1,4536
2006-05-01,280600.0,2006,5,1,4748
2006-10-01,280600.0,2006,10,1,4901
2007-05-01,280600.0,2007,5,1,5113
2007-10-01,478200.0,2007,10,1,5266
2008-05-01,1026000.0,2008,5,1,5479
2008-10-01,1105000.0,2008,10,1,5632
2009-05-01,1105000.0,2009,5,1,5844
2009-10-01,1759000.0,2009,10,1,5997
2010-05-01,1759000.0,2010,5,1,6209
2010-10-01,2566000.0,2010,10,1,6362
2011-05-01,8162000.0,2011,5,1,6574
2011-10-01,10510000.0,2011,10,1,6727
2012-05-01,16324751.0,2012,5,1,6940
2012-10-01,17590000.0,2012,10,1,7093
2013-05-01,33862700.0,2013,5,1,7305
2013-10-01,33862700.0,2013,10,1,7458
2014-05-01,33862700.0,2014,5,1,7670
2014-10-01,33862700.0,2014,10,1,7823
2015-05-01,33862700.0,2015,5,1,8035
2015-10-01,33862700.0,2015,10,1,8188
2016-05-01,93014593.88,2016,5,1,8401
2016-10-01,93014593.88,2016,10,1,8554
2017-05-01,93014593.88,2017,5,1,8766
2017-10-01,93014593.88,2017,10,1,8919
2018-05-01,122300000.0,2018,5,1,9131
2018-10-01,143500000.0,2018,10,1,9284
2019-05-01,148600000.0,2019,5,1,9496
2019-10-01,148600000.0,2019,10,1,9649
2020-05-01,415530000.0,2020,5,1,9862
2020-10-01,442010000.0,2020,10,1,10015
2021-05-01,442010000.0,2021,5,1,10227
2021-10-01,1579590916.6303794,2021,10,1,10380
2022-05-01,2226283349.3761034,2022,5,1,10592
2022-10-01,2851932887.9327726,2022,10,1,10745
2023-05-01,4019528496.3318853,2023,5,1,10957
2023-10-01,5149131405.885238,2023,10,1,11110
2024-05-01,7268968465.306653,2024,5,1,11323
2024-10-01,9311757298.712149,2024,10,1,11476
2025-05-01,13124037375.30804,2025,5,1,11688
